Bin	1	5	10	20	30	40	50	60	80	100	200	300	400	500
0	12.00	16.00	24.00	36.00	40.00	40.00	44.00	44.00	52.00	56.00	60.00	64.00	72.00	76.00
1	4.00	16.00	24.00	32.00	36.00	36.00	36.00	36.00	36.00	44.00	68.00	76.00	76.00	80.00
2	8.00	20.00	20.00	24.00	28.00	28.00	32.00	40.00	44.00	44.00	64.00	72.00	76.00	76.00
3	4.00	16.00	20.00	20.00	24.00	24.00	28.00	28.00	28.00	36.00	52.00	60.00	60.00	60.00
4	4.00	4.00	4.00	8.00	12.00	16.00	16.00	16.00	16.00	20.00	32.00	32.00	40.00	48.00
5	4.00	12.00	20.00	24.00	32.00	32.00	32.00	36.00	44.00	48.00	56.00	64.00	64.00	64.00
6	4.00	4.00	4.00	4.00	8.00	8.00	12.00	12.00	20.00	24.00	32.00	32.00	44.00	44.00
7	0.00	16.00	20.00	20.00	20.00	20.00	20.00	20.00	24.00	28.00	32.00	36.00	40.00	44.00
8	0.00	0.00	8.00	8.00	8.00	8.00	8.00	8.00	8.00	8.00	12.00	12.00	16.00	16.00
9	0.00	0.00	4.00	4.00	4.00	8.00	8.00	8.00	8.00	8.00	16.00	20.00	24.00	28.00
